"item","qty","gross_sales","product_sales","discounts","tax","type","name","purchase_date"
"Mitch - Tiger Hat",1,32,42.09,-13.5,2.91,"Mitch","Tiger Hat",2024-09-05
"Piggy - Bottle",1,40.64,36.31,0,3.69,"Piggy","Bottle",2024-09-05
"Larva - Small A",1,27.43,24.5,0,2.5,"Larva","Small A",2024-09-05
"Larva - Small B",1,27.43,24.51,0,2.49,"Larva","Small B",2024-09-05
"Couple - Banana",1,39.12,51.44,-16.5,3.56,"Couple","Banana",2024-09-05
"Capybara - Bathtub",1,35.56,46.76,-15,3.24,"Capybara","Bathtub",2024-09-04
"Astronaut",1,24.89,32.74,-10.5,2.26,"Astronaut","Astronaut",2024-09-04
"Kuro - Princess",1,31.5,42.13,-13.5,2.87,"Kuro","Princess",2024-09-04
"Holder - Lucky Cat",1,35,46.82,-15,3.18,"Holder","Lucky Cat",2024-09-04
"Fox - Nine Tailed",1,38.5,51.5,-16.5,3.5,"Fox","Nine Tailed",2024-09-04
